Gender,Were you a teaching assistant (TA) or research assistant(RA) during your time in NSU?,Did you participate in any extra curricular activities while you were studying in NSU?,Were you interested in coding?,Did you participate in any competitive programming?,Did you start working as a software engineer after graduation?,Did you have any Start-ups after graduation?,Cumulative Grade Point Average(CGPA),Number of publications,What was your starting salary range?,Where did you start working after completing your higher studies?,Which country did you go to for higher studies?,What was the name of the University you completed your higher studies from? if answer is no write N/A.
1,0,1,1,1,0,0,2,1,1,1,6,2
1,1,1,1,1,0,0,3,3,2,2,6,13
0,1,1,1,1,1,0,3,1,3,2,6,3
1,1,1,1,0,0,0,3,2,1,0,2,12
0,0,0,0,0,0,0,3,1,1,2,3,5
1,0,1,1,0,0,0,2,0,0,2,1,4
1,0,0,1,0,1,0,1,0,1,2,3,5
1,0,1,1,0,0,0,1,0,0,2,3,5
1,1,1,0,0,0,1,2,1,1,2,3,5
0,0,1,0,0,0,0,2,1,1,0,3,5
1,0,1,0,1,0,0,2,1,0,2,3,5
1,1,1,1,0,0,0,3,2,3,2,6,9
1,0,1,1,0,1,0,2,1,2,1,3,5
1,0,1,1,0,1,0,1,1,1,1,3,5
1,0,1,1,1,0,0,2,0,0,2,3,5
1,1,1,1,1,0,0,3,0,0,1,1,10
1,1,1,1,0,0,0,3,1,0,1,2,1
1,0,1,1,1,1,0,2,1,2,1,1,7
1,0,1,0,0,0,0,2,1,1,2,5,11
1,0,1,0,0,1,1,2,1,0,1,1,8
1,0,1,0,1,0,0,2,0,1,1,3,5
0,1,1,1,0,1,0,2,1,0,2,3,5
1,1,1,0,0,0,1,3,1,3,1,3,5
0,0,1,1,0,0,1,2,0,1,1,3,5
0,1,1,1,1,0,0,3,1,2,2,3,5
1,0,1,0,0,0,0,2,1,3,1,0,5
1,0,1,0,0,0,0,3,0,3,1,1,5
1,0,1,0,0,1,0,3,1,2,1,3,5
1,0,1,1,0,1,0,1,1,1,2,3,5
0,0,1,1,0,0,0,2,1,3,1,3,5
0,0,1,0,1,0,0,2,0,2,2,3,5
0,0,1,0,0,0,0,3,0,1,1,3,5
0,0,1,1,0,0,0,2,0,1,1,3,5
1,0,1,1,1,0,1,1,0,1,2,3,5
1,1,0,0,0,0,0,3,0,0,2,3,5
1,1,1,1,0,0,0,2,1,2,2,3,5
1,0,1,1,1,1,1,0,1,0,2,1,6
1,0,0,1,1,0,0,2,0,0,2,3,5
0,0,1,1,1,0,0,2,1,0,0,3,5
1,0,1,1,1,1,1,2,1,3,2,3,5
1,1,1,0,0,0,0,2,1,2,1,4,5
0,1,1,0,0,0,0,3,0,2,1,3,5
0,0,0,0,1,0,1,2,3,2,1,2,5
1,1,1,0,0,0,0,3,1,3,2,6,5
1,0,1,1,0,0,0,2,0,0,2,3,5
1,0,1,1,1,0,0,2,0,0,2,3,5
1,1,1,1,0,0,0,2,1,0,2,6,5
0,0,1,1,0,0,0,3,0,0,2,3,5
1,0,1,1,1,0,0,2,1,0,2,4,5
1,1,1,1,1,0,0,3,1,2,2,3,5
0,0,1,0,0,0,0,1,1,2,2,3,5
0,0,1,0,0,0,0,2,0,0,2,3,5
1,1,1,1,1,0,0,3,0,2,0,3,5
1,0,1,1,1,1,0,2,1,2,1,6,5
1,0,1,1,1,1,0,2,1,0,2,3,5
0,1,1,1,1,0,0,3,1,1,2,3,5
1,0,0,0,1,0,0,1,1,1,1,1,0
1,0,0,1,1,1,1,3,0,3,1,3,5
1,0,1,0,0,0,0,2,0,0,2,3,5
1,0,0,0,0,0,0,3,0,1,1,3,5
1,0,1,1,1,1,0,3,0,0,1,3,5
1,1,0,1,1,1,0,3,0,0,0,1,5
1,1,1,1,0,1,0,3,1,2,2,3,5
1,0,1,1,0,0,0,2,0,1,2,6,5
